category,canonical_field,source_endpoints,likely_use,priority
greeks,chains.putExpDateMap.*.delta,chains,risk_model,high
greeks,chains.putExpDateMap.*.gamma,chains,risk_model,high
greeks,chains.putExpDateMap.*.rho,chains,risk_model,medium
greeks,chains.putExpDateMap.*.theta,chains,risk_model,high
greeks,chains.putExpDateMap.*.vega,chains,risk_model,high
instrument_fundamentals,instruments.*.fundamental.avg10DaysVolume,instruments,prediction_model,medium
instrument_fundamentals,instruments.*.fundamental.eps,instruments,prediction_model,medium
instrument_fundamentals,instruments.*.fundamental.peRatio,instruments,prediction_model,medium
instrument_fundamentals,instruments.*.fundamental.sharesOutstanding,instruments,prediction_model,medium
instrument_fundamentals,quotes.fundamental.avg10DaysVolume,quotes,prediction_model,medium
instrument_fundamentals,quotes.fundamental.avg1YearVolume,quotes,prediction_model,medium
instrument_fundamentals,quotes.fundamental.divAmount,quotes,prediction_model,medium
instrument_fundamentals,quotes.fundamental.divYield,quotes,prediction_model,medium
instrument_fundamentals,quotes.fundamental.eps,quotes,prediction_model,medium
instrument_fundamentals,quotes.fundamental.peRatio,quotes,prediction_model,medium
instrument_fundamentals,quotes.fundamental.sharesOutstanding,quotes,prediction_model,medium
key_levels,chains.callExpDateMap.*.high52Week,chains,key_levels,medium
key_levels,chains.callExpDateMap.*.low52Week,chains,key_levels,medium
key_levels,chains.putExpDateMap.*.high52Week,chains,key_levels,medium
key_levels,chains.putExpDateMap.*.low52Week,chains,key_levels,medium
key_levels,quotes.quote.52WeekHigh,quotes,key_levels,high
key_levels,quotes.quote.52WeekLow,quotes,key_levels,high
market_hours,chains.underlying.close,chains,unknown,medium
market_hours,market_hours.bond.BON.isOpen,market_hours,unknown,medium
market_hours,market_hours.equity.EQ.isOpen,market_hours,unknown,medium
market_hours,market_hours.forex.forex.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ADA.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.AW.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.BFF.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.BTC.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.BZ.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.CB.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.CL.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.CZK.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.DC.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.E7.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ECK.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.EHF.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.EMD.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ES.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ETH.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.GC.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.GF.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.HE.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.HG.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.HO.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.J7.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.KE.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.LE.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.LNK.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.M2K.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.M6A.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.M6B.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.M6E.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MBT.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MCA.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MCD.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MCL.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MES.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MET.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MGC.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MHG.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MHO.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MLN.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MNG.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MNK.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MNQ.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MRB.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MSF.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MSL.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MXL.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MXP.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MYM.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MZC.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MZL.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MZM.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MZS.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.MZW.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.NG.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.NKD.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.NOK.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.NQ.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.PA.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.PL.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.PLN.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.QC.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.QG.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.QH.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.QI.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.QM.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.QO.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.RB.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.RME.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.RTY.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.SEK.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.SI.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.SIC.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.SIL.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.SMC.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.SOL.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.SR1.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.SR3.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.TN.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.UB.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.VX.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.VXM.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.XC.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.XK.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.XLM.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.XRP.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.XW.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.YM.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZB.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZC.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZF.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZL.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZM.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZN.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZO.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZQ.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZR.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZS.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZT.isOpen,market_hours,unknown,medium
market_hours,market_hours.future.ZW.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._10Y.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._1OZ.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._2YY.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._30Y.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._5YY.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._6A.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._6B.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._6C.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._6E.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._6J.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._6L.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._6M.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._6N.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._6S.isOpen,market_hours,unknown,medium
market_hours,market_hours.future._6Z.isOpen,market_hours,unknown,medium
market_hours,market_hours.option.EQO.isOpen,market_hours,unknown,medium
market_hours,market_hours.option.IND.isOpen,market_hours,unknown,medium
market_hours,pricehistory.candles.*.close,pricehistory,unknown,high
market_hours,pricehistory.candles.*.open,pricehistory,unknown,high
movers,chains.underlying.percentChange,chains,unknown,medium
movers,movers.screeners.*.netChange,movers,unknown,medium
movers,quotes.quote.netChange,quotes,unknown,medium
options_chain,chains.callExpDateMap,chains,unknown,medium
options_chain,chains.callExpDateMap.*,chains,unknown,medium
options_chain,chains.callExpDateMap.*.bidAskSize,chains,unknown,medium
options_chain,chains.callExpDateMap.*.daysToExpiration,chains,unknown,medium
options_chain,chains.callExpDateMap.*.deliverableNote,chains,unknown,medium
options_chain,chains.callExpDateMap.*.description,chains,ui_only,low
options_chain,chains.callExpDateMap.*.exchangeName,chains,ui_only,medium
options_chain,chains.callExpDateMap.*.exerciseType,chains,unknown,medium
options_chain,chains.callExpDateMap.*.expirationDate,chains,unknown,medium
options_chain,chains.callExpDateMap.*.expirationType,chains,unknown,medium
options_chain,chains.callExpDateMap.*.extrinsicValue,chains,unknown,medium
options_chain,chains.callExpDateMap.*.inTheMoney,chains,unknown,medium
options_chain,chains.callExpDateMap.*.intrinsicValue,chains,unknown,medium
options_chain,chains.callExpDateMap.*.last,chains,unknown,medium
options_chain,chains.callExpDateMap.*.lastTradingDay,chains,unknown,medium
options_chain,chains.callExpDateMap.*.markChange,chains,unknown,medium
options_chain,chains.callExpDateMap.*.markPercentChange,chains,unknown,medium
options_chain,chains.callExpDateMap.*.mini,chains,unknown,medium
options_chain,chains.callExpDateMap.*.multiplier,chains,unknown,medium
options_chain,chains.callExpDateMap.*.netChange,chains,unknown,medium
options_chain,chains.callExpDateMap.*.nonStandard,chains,unknown,medium
options_chain,chains.callExpDateMap.*.openInterest,chains,order_flow_proxy,high
options_chain,chains.callExpDateMap.*.optionDeliverablesList,chains,unknown,medium
options_chain,chains.callExpDateMap.*.optionDeliverablesList.*,chains,unknown,medium
options_chain,chains.callExpDateMap.*.optionDeliverablesList.*.assetType,chains,unknown,medium
options_chain,chains.callExpDateMap.*.optionDeliverablesList.*.currencyType,chains,unknown,medium
options_chain,chains.callExpDateMap.*.optionDeliverablesList.*.deliverableUnits,chains,unknown,medium
options_chain,chains.callExpDateMap.*.optionDeliverablesList.*.symbol,chains,unknown,medium
options_chain,chains.callExpDateMap.*.optionRoot,chains,unknown,medium
options_chain,chains.callExpDateMap.*.pennyPilot,chains,unknown,medium
options_chain,chains.callExpDateMap.*.percentChange,chains,unknown,medium
options_chain,chains.callExpDateMap.*.putCall,chains,unknown,medium
options_chain,chains.callExpDateMap.*.settlementType,chains,unknown,medium
options_chain,chains.callExpDateMap.*.strikePrice,chains,unknown,medium
options_chain,chains.callExpDateMap.*.symbol,chains,unknown,medium
options_chain,chains.callExpDateMap.*.theoreticalOptionValue,chains,unknown,medium
options_chain,chains.callExpDateMap.*.timeValue,chains,unknown,medium
options_chain,chains.putExpDateMap,chains,unknown,medium
options_chain,chains.putExpDateMap.*,chains,unknown,medium
options_chain,chains.putExpDateMap.*.bidAskSize,chains,unknown,medium
options_chain,chains.putExpDateMap.*.daysToExpiration,chains,unknown,medium
options_chain,chains.putExpDateMap.*.deliverableNote,chains,unknown,medium
options_chain,chains.putExpDateMap.*.description,chains,ui_only,low
options_chain,chains.putExpDateMap.*.exchangeName,chains,ui_only,medium
options_chain,chains.putExpDateMap.*.exerciseType,chains,unknown,medium
options_chain,chains.putExpDateMap.*.expirationDate,chains,unknown,medium
options_chain,chains.putExpDateMap.*.expirationType,chains,unknown,medium
options_chain,chains.putExpDateMap.*.extrinsicValue,chains,unknown,medium
options_chain,chains.putExpDateMap.*.inTheMoney,chains,unknown,medium
options_chain,chains.putExpDateMap.*.intrinsicValue,chains,unknown,medium
options_chain,chains.putExpDateMap.*.last,chains,unknown,medium
options_chain,chains.putExpDateMap.*.lastTradingDay,chains,unknown,medium
options_chain,chains.putExpDateMap.*.markChange,chains,unknown,medium
options_chain,chains.putExpDateMap.*.markPercentChange,chains,unknown,medium
options_chain,chains.putExpDateMap.*.mini,chains,unknown,medium
options_chain,chains.putExpDateMap.*.multiplier,chains,unknown,medium
options_chain,chains.putExpDateMap.*.netChange,chains,unknown,medium
options_chain,chains.putExpDateMap.*.nonStandard,chains,unknown,medium
options_chain,chains.putExpDateMap.*.openInterest,chains,order_flow_proxy,high
options_chain,chains.putExpDateMap.*.optionDeliverablesList,chains,unknown,medium
options_chain,chains.putExpDateMap.*.optionDeliverablesList.*,chains,unknown,medium
options_chain,chains.putExpDateMap.*.optionDeliverablesList.*.assetType,chains,unknown,medium
options_chain,chains.putExpDateMap.*.optionDeliverablesList.*.currencyType,chains,unknown,medium
options_chain,chains.putExpDateMap.*.optionDeliverablesList.*.deliverableUnits,chains,unknown,medium
options_chain,chains.putExpDateMap.*.optionDeliverablesList.*.symbol,chains,unknown,medium
options_chain,chains.putExpDateMap.*.optionRoot,chains,unknown,medium
options_chain,chains.putExpDateMap.*.pennyPilot,chains,unknown,medium
options_chain,chains.putExpDateMap.*.percentChange,chains,unknown,medium
options_chain,chains.putExpDateMap.*.putCall,chains,unknown,medium
options_chain,chains.putExpDateMap.*.settlementType,chains,unknown,medium
options_chain,chains.putExpDateMap.*.strikePrice,chains,unknown,medium
options_chain,chains.putExpDateMap.*.symbol,chains,unknown,medium
options_chain,chains.putExpDateMap.*.theoreticalOptionValue,chains,unknown,medium
options_chain,chains.putExpDateMap.*.timeValue,chains,unknown,medium
streaming_book,streaming.content.*.ASKS,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.ASKS.*,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.ASKS.*.ASKS,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.ASKS.*.ASKS.*,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.ASKS.*.ASKS.*.ASK_VOLUME,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.ASKS.*.ASKS.*.EXCHANGE,streaming,direct_order_flow,low
streaming_book,streaming.content.*.ASKS.*.ASKS.*.SEQUENCE,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.ASKS.*.NUM_ASKS,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.BIDS,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.BIDS.*,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.BIDS.*.BIDS,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.BIDS.*.BIDS.*,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.BIDS.*.BIDS.*.BID_VOLUME,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.BIDS.*.BIDS.*.EXCHANGE,streaming,direct_order_flow,low
streaming_book,streaming.content.*.BIDS.*.BIDS.*.SEQUENCE,streaming,direct_order_flow,medium
streaming_book,streaming.content.*.BIDS.*.NUM_BIDS,streaming,direct_order_flow,medium
streaming_quote,streaming.,streaming,unknown,medium
streaming_quote,streaming.command,streaming,unknown,medium
streaming_quote,streaming.content.*,streaming,unknown,medium
streaming_quote,streaming.content.*.ASKS.*.ASK_PRICE,streaming,direct_order_flow,high
streaming_quote,streaming.content.*.ASKS.*.TOTAL_VOLUME,streaming,direct_order_flow,medium
streaming_quote,streaming.content.*.ASK_ID,streaming,unknown,medium
streaming_quote,streaming.content.*.ASK_MIC_ID,streaming,unknown,medium
streaming_quote,streaming.content.*.ASK_PRICE,streaming,unknown,high
streaming_quote,streaming.content.*.ASK_SIZE,streaming,direct_order_flow,medium
streaming_quote,streaming.content.*.ASK_TIME_MILLIS,streaming,unknown,medium
streaming_quote,streaming.content.*.BIDS.*.BID_PRICE,streaming,direct_order_flow,high
streaming_quote,streaming.content.*.BIDS.*.TOTAL_VOLUME,streaming,direct_order_flow,medium
streaming_quote,streaming.content.*.BID_ID,streaming,unknown,medium
streaming_quote,streaming.content.*.BID_MIC_ID,streaming,unknown,medium
streaming_quote,streaming.content.*.BID_PRICE,streaming,unknown,high
streaming_quote,streaming.content.*.BID_SIZE,streaming,direct_order_flow,medium
streaming_quote,streaming.content.*.BID_TIME_MILLIS,streaming,unknown,medium
streaming_quote,streaming.content.*.BOOK_TIME,streaming,unknown,medium
streaming_quote,streaming.content.*.CHART_DAY,streaming,unknown,medium
streaming_quote,streaming.content.*.CLOSE_PRICE,streaming,unknown,medium
streaming_quote,streaming.content.*.DESCRIPTION,streaming,ui_only,low
streaming_quote,streaming.content.*.DIVIDEND_AMOUNT,streaming,unknown,medium
streaming_quote,streaming.content.*.DIVIDEND_DATE,streaming,unknown,medium
streaming_quote,streaming.content.*.DIVIDEND_YIELD,streaming,unknown,medium
streaming_quote,streaming.content.*.EXCHANGE_ID,streaming,unknown,medium
streaming_quote,streaming.content.*.EXCHANGE_NAME,streaming,unknown,medium
streaming_quote,streaming.content.*.HARD_TO_BORROW,streaming,unknown,medium
streaming_quote,streaming.content.*.HIGH_PRICE,streaming,unknown,medium
streaming_quote,streaming.content.*.HIGH_PRICE_52_WEEK,streaming,unknown,medium
streaming_quote,streaming.content.*.HTB_QUANTITY,streaming,unknown,medium
streaming_quote,streaming.content.*.HTB_RATE,streaming,unknown,medium
streaming_quote,streaming.content.*.IS_SHORTABLE,streaming,unknown,medium
streaming_quote,streaming.content.*.LAST_ID,streaming,unknown,medium
streaming_quote,streaming.content.*.LAST_MIC_ID,streaming,unknown,medium
streaming_quote,streaming.content.*.LAST_PRICE,streaming,unknown,medium
streaming_quote,streaming.content.*.LAST_SIZE,streaming,unknown,medium
streaming_quote,streaming.content.*.LOW_PRICE,streaming,unknown,medium
streaming_quote,streaming.content.*.LOW_PRICE_52_WEEK,streaming,unknown,medium
streaming_quote,streaming.content.*.MARGINABLE,streaming,unknown,medium
streaming_quote,streaming.content.*.MARK_CHANGE,streaming,unknown,medium
streaming_quote,streaming.content.*.MARK_CHANGE_PERCENT,streaming,unknown,medium
streaming_quote,streaming.content.*.NAV,streaming,unknown,medium
streaming_quote,streaming.content.*.NET_CHANGE,streaming,unknown,medium
streaming_quote,streaming.content.*.NET_CHANGE_PERCENT,streaming,unknown,medium
streaming_quote,streaming.content.*.OPEN_PRICE,streaming,unknown,medium
streaming_quote,streaming.content.*.PE_RATIO,streaming,unknown,medium
streaming_quote,streaming.content.*.POST_MARKET_NET_CHANGE,streaming,unknown,medium
streaming_quote,streaming.content.*.POST_MARKET_NET_CHANGE_PERCENT,streaming,unknown,medium
streaming_quote,streaming.content.*.REGULAR_MARKET_CHANGE_PERCENT,streaming,unknown,medium
streaming_quote,streaming.content.*.REGULAR_MARKET_LAST_PRICE,streaming,unknown,medium
streaming_quote,streaming.content.*.REGULAR_MARKET_LAST_SIZE,streaming,unknown,medium
streaming_quote,streaming.content.*.REGULAR_MARKET_NET_CHANGE,streaming,unknown,medium
streaming_quote,streaming.content.*.REGULAR_MARKET_QUOTE,streaming,unknown,medium
streaming_quote,streaming.content.*.REGULAR_MARKET_TRADE,streaming,unknown,medium
streaming_quote,streaming.content.*.REGULAR_MARKET_TRADE_MILLIS,streaming,unknown,medium
streaming_quote,streaming.content.*.SECURITY_STATUS,streaming,unknown,medium
streaming_quote,streaming.content.*.SEQUENCE,streaming,unknown,medium
streaming_quote,streaming.content.*.TOTAL_VOLUME,streaming,unknown,medium
streaming_quote,streaming.content.*.assetMainType,streaming,ui_only,low
streaming_quote,streaming.content.*.assetSubType,streaming,unknown,low
streaming_quote,streaming.content.*.cusip,streaming,ui_only,low
streaming_quote,streaming.content.*.delayed,streaming,unknown,medium
streaming_quote,streaming.content.*.key,streaming,unknown,medium
streaming_quote,streaming.content.*.seq,streaming,unknown,medium
streaming_quote,streaming.service,streaming,unknown,medium
streaming_quote,streaming.timestamp,streaming,unknown,medium
time,chains.callExpDateMap.*.quoteTimeInLong,chains,unknown,medium
time,chains.callExpDateMap.*.tradeTimeInLong,chains,unknown,medium
time,chains.putExpDateMap.*.quoteTimeInLong,chains,unknown,medium
time,chains.putExpDateMap.*.tradeTimeInLong,chains,unknown,medium
time,chains.underlying.quoteTime,chains,unknown,medium
time,chains.underlying.tradeTime,chains,unknown,medium
time,pricehistory.candles.*.datetime,pricehistory,unknown,medium
time,quotes.extended.quoteTime,quotes,unknown,medium
time,quotes.extended.tradeTime,quotes,unknown,medium
time,quotes.quote.quoteTime,quotes,unknown,medium
time,quotes.quote.tradeTime,quotes,unknown,medium
time,streaming.content.*.CHART_TIME_MILLIS,streaming,unknown,medium
time,streaming.content.*.QUOTE_TIME_MILLIS,streaming,unknown,medium
time,streaming.content.*.TRADE_TIME_MILLIS,streaming,unknown,medium
unknown,chains.assetMainType,chains,ui_only,low
unknown,chains.assetSubType,chains,unknown,low
unknown,chains.daysToExpiration,chains,unknown,medium
unknown,chains.dividendYield,chains,unknown,medium
unknown,chains.interestRate,chains,unknown,medium
unknown,chains.interval,chains,unknown,medium
unknown,chains.isChainTruncated,chains,unknown,medium
unknown,chains.isDelayed,chains,unknown,medium
unknown,chains.isIndex,chains,unknown,medium
unknown,chains.numberOfContracts,chains,unknown,medium
unknown,chains.status,chains,unknown,medium
unknown,chains.strategy,chains,unknown,medium
unknown,chains.symbol,chains;pricehistory,unknown,medium
unknown,chains.underlying,chains,unknown,medium
unknown,chains.underlying.change,chains,unknown,medium
unknown,chains.underlying.delayed,chains,unknown,medium
unknown,chains.underlying.description,chains,ui_only,low
unknown,chains.underlying.exchangeName,chains,ui_only,medium
unknown,chains.underlying.fiftyTwoWeekHigh,chains,unknown,medium
unknown,chains.underlying.fiftyTwoWeekLow,chains,unknown,medium
unknown,chains.underlying.last,chains,unknown,medium
unknown,chains.underlying.markChange,chains,unknown,medium
unknown,chains.underlying.markPercentChange,chains,unknown,medium
unknown,chains.underlying.symbol,chains,unknown,medium
unknown,chains.underlyingPrice,chains,unknown,medium
unknown,instruments.*,instruments,unknown,medium
unknown,instruments.*.assetType,instruments,unknown,medium
unknown,instruments.*.cusip,instruments,ui_only,low
unknown,instruments.*.description,instruments,ui_only,low
unknown,instruments.*.exchange,instruments,unknown,low
unknown,instruments.*.fundamental.avg1DayVolume,instruments,prediction_model,medium
unknown,instruments.*.fundamental.avg3MonthVolume,instruments,prediction_model,medium
unknown,instruments.*.fundamental.beta,instruments,prediction_model,medium
unknown,instruments.*.fundamental.bookValuePerShare,instruments,prediction_model,medium
unknown,instruments.*.fundamental.currentRatio,instruments,prediction_model,medium
unknown,instruments.*.fundamental.declarationDate,instruments,prediction_model,medium
unknown,instruments.*.fundamental.divGrowthRate3Year,instruments,prediction_model,medium
unknown,instruments.*.fundamental.dividendAmount,instruments,prediction_model,medium
unknown,instruments.*.fundamental.dividendDate,instruments,prediction_model,medium
unknown,instruments.*.fundamental.dividendFreq,instruments,prediction_model,medium
unknown,instruments.*.fundamental.dividendPayAmount,instruments,prediction_model,medium
unknown,instruments.*.fundamental.dividendPayDate,instruments,prediction_model,medium
unknown,instruments.*.fundamental.dividendYield,instruments,prediction_model,medium
unknown,instruments.*.fundamental.dtnVolume,instruments,prediction_model,medium
unknown,instruments.*.fundamental.epsChange,instruments,prediction_model,medium
unknown,instruments.*.fundamental.epsChangePercentTTM,instruments,prediction_model,medium
unknown,instruments.*.fundamental.epsChangeYear,instruments,prediction_model,medium
