canonical_field,source_endpoints,example_raw_field,category,likely_use,priority,first_seen,last_seen
chains.callExpDateMap.*.nonStandard,chains,callExpDateMap.2028-12-15:955.760.0.0.nonStandard,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.openInterest,chains,callExpDateMap.2028-12-15:955.760.0.0.openInterest,options_chain,order_flow_proxy,high,,2026-08-15
chains.callExpDateMap.*.openPrice,chains,callExpDateMap.2028-12-15:955.760.0.0.openPrice,bid_ask,unknown,medium,,2026-08-15
chains.callExpDateMap.*.optionDeliverablesList,chains,callExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.optionDeliverablesList.*,chains,callExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList.0,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.optionDeliverablesList.*.assetType,chains,callExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList.0.assetType,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.optionDeliverablesList.*.currencyType,chains,callExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList.0.currencyType,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.optionDeliverablesList.*.deliverableUnits,chains,callExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList.0.deliverableUnits,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.optionDeliverablesList.*.symbol,chains,callExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList.0.symbol,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.optionRoot,chains,callExpDateMap.2028-12-15:955.760.0.0.optionRoot,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.pennyPilot,chains,callExpDateMap.2028-12-15:955.760.0.0.pennyPilot,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.percentChange,chains,callExpDateMap.2028-12-15:955.760.0.0.percentChange,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.putCall,chains,callExpDateMap.2028-12-15:955.760.0.0.putCall,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.quoteTimeInLong,chains,callExpDateMap.2028-12-15:955.760.0.0.quoteTimeInLong,time,unknown,medium,,2026-08-15
chains.callExpDateMap.*.rho,chains,callExpDateMap.2028-12-15:955.760.0.0.rho,greeks,risk_model,medium,,2026-08-15
chains.callExpDateMap.*.settlementType,chains,callExpDateMap.2028-12-15:955.760.0.0.settlementType,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.ssid,chains,callExpDateMap.*.ssid,unclassified,unreviewed,unreviewed,2026-08-15,2026-08-15
chains.callExpDateMap.*.strikePrice,chains,callExpDateMap.2028-12-15:955.760.0.0.strikePrice,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.symbol,chains,callExpDateMap.2028-12-15:955.760.0.0.symbol,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.theoreticalOptionValue,chains,callExpDateMap.2028-12-15:955.760.0.0.theoreticalOptionValue,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.theoreticalVolatility,chains,callExpDateMap.2028-12-15:955.760.0.0.theoreticalVolatility,volatility,risk_model,medium,,2026-08-15
chains.callExpDateMap.*.theta,chains,callExpDateMap.2028-12-15:955.760.0.0.theta,greeks,risk_model,high,,2026-08-15
chains.callExpDateMap.*.timeValue,chains,callExpDateMap.2028-12-15:955.760.0.0.timeValue,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.totalVolume,chains,callExpDateMap.2028-12-15:955.760.0.0.totalVolume,volume,order_flow_proxy,high,,2026-08-15
chains.callExpDateMap.*.tradeTimeInLong,chains,callExpDateMap.2028-12-15:955.760.0.0.tradeTimeInLong,time,unknown,medium,,2026-08-15
chains.callExpDateMap.*.vega,chains,callExpDateMap.2028-12-15:955.760.0.0.vega,greeks,risk_model,high,,2026-08-15
chains.callExpDateMap.*.volatility,chains,callExpDateMap.2028-12-15:955.760.0.0.volatility,volatility,regime_detection,high,,2026-08-15
chains.daysToExpiration,chains,daysToExpiration,unknown,unknown,medium,,2026-08-15
chains.dividendYield,chains,dividendYield,unknown,unknown,medium,,2026-08-15
chains.ethOptionEligible,chains,ethOptionEligible,unclassified,unreviewed,unreviewed,2026-08-15,2026-08-15
chains.hasBinaryOptions,chains,hasBinaryOptions,unclassified,unreviewed,unreviewed,2026-08-15,2026-08-15
chains.interestRate,chains,interestRate,unknown,unknown,medium,,2026-08-15
chains.interval,chains,interval,unknown,unknown,medium,,2026-08-15
chains.isChainTruncated,chains,isChainTruncated,unknown,unknown,medium,,2026-08-15
chains.isDelayed,chains,isDelayed,unknown,unknown,medium,,2026-08-15
chains.isIndex,chains,isIndex,unknown,unknown,medium,,2026-08-15
chains.numberOfContracts,chains,numberOfContracts,unknown,unknown,medium,,2026-08-15
chains.putExpDateMap,chains,putExpDateMap,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*,chains,putExpDateMap.2028-12-15:955.760.0.0,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.ask,chains,putExpDateMap.2028-12-15:955.760.0.0.ask,bid_ask,unknown,medium,,2026-08-15
chains.putExpDateMap.*.askSize,chains,putExpDateMap.2028-12-15:955.760.0.0.askSize,bid_ask,direct_order_flow,high,,2026-08-15
chains.putExpDateMap.*.bid,chains,putExpDateMap.2028-12-15:955.760.0.0.bid,bid_ask,unknown,medium,,2026-08-15
chains.putExpDateMap.*.bidAskSize,chains,putExpDateMap.2028-12-15:955.760.0.0.bidAskSize,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.bidSize,chains,putExpDateMap.2028-12-15:955.760.0.0.bidSize,bid_ask,direct_order_flow,high,,2026-08-15
chains.putExpDateMap.*.breakEven,chains,putExpDateMap.*.breakEven,unclassified,unreviewed,unreviewed,2026-08-15,2026-08-15
chains.putExpDateMap.*.closePrice,chains,putExpDateMap.2028-12-15:955.760.0.0.closePrice,bid_ask,unknown,medium,,2026-08-15
chains.putExpDateMap.*.daysToExpiration,chains,putExpDateMap.2028-12-15:955.760.0.0.daysToExpiration,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.deliverableNote,chains,putExpDateMap.2028-12-15:955.760.0.0.deliverableNote,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.delta,chains,putExpDateMap.2028-12-15:955.760.0.0.delta,greeks,risk_model,high,,2026-08-15
chains.putExpDateMap.*.description,chains,putExpDateMap.2028-12-15:955.760.0.0.description,options_chain,ui_only,low,,2026-08-15
chains.putExpDateMap.*.exchangeName,chains,putExpDateMap.2028-12-15:955.760.0.0.exchangeName,options_chain,ui_only,medium,,2026-08-15
chains.putExpDateMap.*.exerciseType,chains,putExpDateMap.2028-12-15:955.760.0.0.exerciseType,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.expirationDate,chains,putExpDateMap.2028-12-15:955.760.0.0.expirationDate,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.expirationType,chains,putExpDateMap.2028-12-15:955.760.0.0.expirationType,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.extrinsicValue,chains,putExpDateMap.2028-12-15:955.760.0.0.extrinsicValue,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.gamma,chains,putExpDateMap.2028-12-15:955.760.0.0.gamma,greeks,risk_model,high,,2026-08-15
chains.putExpDateMap.*.high52Week,chains,putExpDateMap.2028-12-15:955.760.0.0.high52Week,key_levels,key_levels,medium,,2026-08-15
chains.putExpDateMap.*.highPrice,chains,putExpDateMap.2028-12-15:955.760.0.0.highPrice,bid_ask,unknown,medium,,2026-08-15
chains.putExpDateMap.*.inTheMoney,chains,putExpDateMap.2028-12-15:955.760.0.0.inTheMoney,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.intrinsicValue,chains,putExpDateMap.2028-12-15:955.760.0.0.intrinsicValue,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.last,chains,putExpDateMap.2028-12-15:955.760.0.0.last,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.lastSize,chains,putExpDateMap.2028-12-15:955.760.0.0.lastSize,volume,unknown,medium,,2026-08-15
chains.putExpDateMap.*.lastTradingDay,chains,putExpDateMap.2028-12-15:955.760.0.0.lastTradingDay,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.low52Week,chains,putExpDateMap.2028-12-15:955.760.0.0.low52Week,key_levels,key_levels,medium,,2026-08-15
chains.putExpDateMap.*.lowPrice,chains,putExpDateMap.2028-12-15:955.760.0.0.lowPrice,bid_ask,unknown,medium,,2026-08-15
chains.putExpDateMap.*.mark,chains,putExpDateMap.2028-12-15:955.760.0.0.mark,bid_ask,unknown,high,,2026-08-15
chains.putExpDateMap.*.markChange,chains,putExpDateMap.2028-12-15:955.760.0.0.markChange,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.markPercentChange,chains,putExpDateMap.2028-12-15:955.760.0.0.markPercentChange,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.mini,chains,putExpDateMap.2028-12-15:955.760.0.0.mini,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.multiplier,chains,putExpDateMap.2028-12-15:955.760.0.0.multiplier,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.netChange,chains,putExpDateMap.2028-12-15:955.760.0.0.netChange,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.nonStandard,chains,putExpDateMap.2028-12-15:955.760.0.0.nonStandard,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.openInterest,chains,putExpDateMap.2028-12-15:955.760.0.0.openInterest,options_chain,order_flow_proxy,high,,2026-08-15
chains.putExpDateMap.*.openPrice,chains,putExpDateMap.2028-12-15:955.760.0.0.openPrice,bid_ask,unknown,medium,,2026-08-15
chains.putExpDateMap.*.optionDeliverablesList,chains,putExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.optionDeliverablesList.*,chains,putExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList.0,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.optionDeliverablesList.*.assetType,chains,putExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList.0.assetType,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.optionDeliverablesList.*.currencyType,chains,putExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList.0.currencyType,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.optionDeliverablesList.*.deliverableUnits,chains,putExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList.0.deliverableUnits,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.optionDeliverablesList.*.symbol,chains,putExpDateMap.2028-12-15:955.760.0.0.optionDeliverablesList.0.symbol,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.optionRoot,chains,putExpDateMap.2028-12-15:955.760.0.0.optionRoot,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.pennyPilot,chains,putExpDateMap.2028-12-15:955.760.0.0.pennyPilot,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.percentChange,chains,putExpDateMap.2028-12-15:955.760.0.0.percentChange,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.putCall,chains,putExpDateMap.2028-12-15:955.760.0.0.putCall,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.quoteTimeInLong,chains,putExpDateMap.2028-12-15:955.760.0.0.quoteTimeInLong,time,unknown,medium,,2026-08-15
chains.putExpDateMap.*.rho,chains,putExpDateMap.2028-12-15:955.760.0.0.rho,greeks,risk_model,medium,,2026-08-15
chains.putExpDateMap.*.settlementType,chains,putExpDateMap.2028-12-15:955.760.0.0.settlementType,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.ssid,chains,putExpDateMap.*.ssid,unclassified,unreviewed,unreviewed,2026-08-15,2026-08-15
chains.putExpDateMap.*.strikePrice,chains,putExpDateMap.2028-12-15:955.760.0.0.strikePrice,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.symbol,chains,putExpDateMap.2028-12-15:955.760.0.0.symbol,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.theoreticalOptionValue,chains,putExpDateMap.2028-12-15:955.760.0.0.theoreticalOptionValue,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.theoreticalVolatility,chains,putExpDateMap.2028-12-15:955.760.0.0.theoreticalVolatility,volatility,risk_model,medium,,2026-08-15
chains.putExpDateMap.*.theta,chains,putExpDateMap.2028-12-15:955.760.0.0.theta,greeks,risk_model,high,,2026-08-15
chains.putExpDateMap.*.timeValue,chains,putExpDateMap.2028-12-15:955.760.0.0.timeValue,options_chain,unknown,medium,,2026-08-15
chains.putExpDateMap.*.totalVolume,chains,putExpDateMap.2028-12-15:955.760.0.0.totalVolume,volume,order_flow_proxy,high,,2026-08-15
chains.putExpDateMap.*.tradeTimeInLong,chains,putExpDateMap.2028-12-15:955.760.0.0.tradeTimeInLong,time,unknown,medium,,2026-08-15
chains.putExpDateMap.*.vega,chains,putExpDateMap.2028-12-15:955.760.0.0.vega,greeks,risk_model,high,,2026-08-15
chains.putExpDateMap.*.volatility,chains,putExpDateMap.2028-12-15:955.760.0.0.volatility,volatility,regime_detection,high,,2026-08-15
chains.status,chains,status,unknown,unknown,medium,,2026-08-15
chains.strategy,chains,strategy,unknown,unknown,medium,,2026-08-15
chains.symbol,chains;pricehistory,symbol,unknown,unknown,medium,,2026-08-15
chains.underlying,chains,underlying,unknown,unknown,medium,,2026-08-15
chains.underlying.ask,chains,underlying.ask,bid_ask,unknown,medium,,
chains.underlying.askSize,chains,underlying.askSize,bid_ask,direct_order_flow,high,,
chains.underlying.bid,chains,underlying.bid,bid_ask,unknown,medium,,
chains.underlying.bidSize,chains,underlying.bidSize,bid_ask,direct_order_flow,high,,
chains.underlying.change,chains,underlying.change,unknown,unknown,medium,,
chains.underlying.close,chains,underlying.close,market_hours,unknown,medium,,
chains.underlying.delayed,chains,underlying.delayed,unknown,unknown,medium,,
chains.underlying.description,chains,underlying.description,unknown,ui_only,low,,
chains.underlying.exchangeName,chains,underlying.exchangeName,unknown,ui_only,medium,,
chains.underlying.fiftyTwoWeekHigh,chains,underlying.fiftyTwoWeekHigh,unknown,unknown,medium,,
chains.underlying.fiftyTwoWeekLow,chains,underlying.fiftyTwoWeekLow,unknown,unknown,medium,,
chains.underlying.highPrice,chains,underlying.highPrice,bid_ask,unknown,medium,,
chains.underlying.last,chains,underlying.last,unknown,unknown,medium,,
chains.underlying.lowPrice,chains,underlying.lowPrice,bid_ask,unknown,medium,,
chains.underlying.mark,chains,underlying.mark,bid_ask,unknown,high,,
chains.underlying.markChange,chains,underlying.markChange,unknown,unknown,medium,,
chains.underlying.markPercentChange,chains,underlying.markPercentChange,unknown,unknown,medium,,
chains.underlying.openPrice,chains,underlying.openPrice,bid_ask,unknown,medium,,
chains.underlying.percentChange,chains,underlying.percentChange,movers,unknown,medium,,
chains.underlying.quoteTime,chains,underlying.quoteTime,time,unknown,medium,,
chains.underlying.symbol,chains,underlying.symbol,unknown,unknown,medium,,
chains.underlying.totalVolume,chains,underlying.totalVolume,volume,order_flow_proxy,high,,
chains.underlying.tradeTime,chains,underlying.tradeTime,time,unknown,medium,,
chains.underlyingPrice,chains,underlyingPrice,unknown,unknown,medium,,2026-08-15
chains.volatility,chains,volatility,volatility,regime_detection,high,,2026-08-15
instruments.*,instruments,instruments.9999,unknown,unknown,medium,,2026-08-15
instruments.*.assetType,instruments,instruments.9999.assetType,unknown,unknown,medium,,2026-08-15
instruments.*.cusip,instruments,instruments.9.cusip,unknown,ui_only,low,,2026-08-15
instruments.*.description,instruments,instruments.9999.description,unknown,ui_only,low,,2026-08-15
instruments.*.exchange,instruments,instruments.9999.exchange,unknown,unknown,low,,2026-08-15
instruments.*.fundamental.avg10DaysVolume,instruments,instruments.0.fundamental.avg10DaysVolume,instrument_fundamentals,prediction_model,medium,,2026-08-15
instruments.*.fundamental.avg1DayVolume,instruments,instruments.0.fundamental.avg1DayVolume,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.avg3MonthVolume,instruments,instruments.0.fundamental.avg3MonthVolume,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.beta,instruments,instruments.0.fundamental.beta,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.bookValuePerShare,instruments,instruments.0.fundamental.bookValuePerShare,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.currentRatio,instruments,instruments.0.fundamental.currentRatio,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.declarationDate,instruments,instruments.0.fundamental.declarationDate,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.divGrowthRate3Year,instruments,instruments.0.fundamental.divGrowthRate3Year,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.dividendAmount,instruments,instruments.0.fundamental.dividendAmount,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.dividendDate,instruments,instruments.0.fundamental.dividendDate,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.dividendFreq,instruments,instruments.0.fundamental.dividendFreq,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.dividendPayAmount,instruments,instruments.0.fundamental.dividendPayAmount,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.dividendPayDate,instruments,instruments.0.fundamental.dividendPayDate,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.dividendYield,instruments,instruments.0.fundamental.dividendYield,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.dtnVolume,instruments,instruments.0.fundamental.dtnVolume,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.eps,instruments,instruments.0.fundamental.eps,instrument_fundamentals,prediction_model,medium,,2026-08-15
instruments.*.fundamental.epsChange,instruments,instruments.0.fundamental.epsChange,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.epsChangePercentTTM,instruments,instruments.0.fundamental.epsChangePercentTTM,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.epsChangeYear,instruments,instruments.0.fundamental.epsChangeYear,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.epsTTM,instruments,instruments.0.fundamental.epsTTM,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.fundLeverageFactor,instruments,instruments.0.fundamental.fundLeverageFactor,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.grossMarginMRQ,instruments,instruments.0.fundamental.grossMarginMRQ,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.grossMarginTTM,instruments,instruments.0.fundamental.grossMarginTTM,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.high52,instruments,instruments.0.fundamental.high52,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.interestCoverage,instruments,instruments.0.fundamental.interestCoverage,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.low52,instruments,instruments.0.fundamental.low52,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.ltDebtToEquity,instruments,instruments.0.fundamental.ltDebtToEquity,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.marketCap,instruments,instruments.0.fundamental.marketCap,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.marketCapFloat,instruments,instruments.0.fundamental.marketCapFloat,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.netProfitMarginMRQ,instruments,instruments.0.fundamental.netProfitMarginMRQ,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.netProfitMarginTTM,instruments,instruments.0.fundamental.netProfitMarginTTM,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.nextDividendDate,instruments,instruments.0.fundamental.nextDividendDate,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.nextDividendPayDate,instruments,instruments.0.fundamental.nextDividendPayDate,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.operatingMarginMRQ,instruments,instruments.0.fundamental.operatingMarginMRQ,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.operatingMarginTTM,instruments,instruments.0.fundamental.operatingMarginTTM,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.pbRatio,instruments,instruments.0.fundamental.pbRatio,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.pcfRatio,instruments,instruments.0.fundamental.pcfRatio,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.peRatio,instruments,instruments.0.fundamental.peRatio,instrument_fundamentals,prediction_model,medium,,2026-08-15
instruments.*.fundamental.pegRatio,instruments,instruments.0.fundamental.pegRatio,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.prRatio,instruments,instruments.0.fundamental.prRatio,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.quickRatio,instruments,instruments.0.fundamental.quickRatio,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.returnOnAssets,instruments,instruments.0.fundamental.returnOnAssets,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.returnOnEquity,instruments,instruments.0.fundamental.returnOnEquity,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.returnOnInvestment,instruments,instruments.0.fundamental.returnOnInvestment,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.revChangeIn,instruments,instruments.0.fundamental.revChangeIn,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.revChangeTTM,instruments,instruments.0.fundamental.revChangeTTM,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.revChangeYear,instruments,instruments.0.fundamental.revChangeYear,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.sharesOutstanding,instruments,instruments.0.fundamental.sharesOutstanding,instrument_fundamentals,prediction_model,medium,,2026-08-15
instruments.*.fundamental.shortIntDayToCover,instruments,instruments.0.fundamental.shortIntDayToCover,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.shortIntToFloat,instruments,instruments.0.fundamental.shortIntToFloat,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.symbol,instruments,instruments.0.fundamental.symbol,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.totalDebtToCapital,instruments,instruments.0.fundamental.totalDebtToCapital,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.totalDebtToEquity,instruments,instruments.0.fundamental.totalDebtToEquity,unknown,prediction_model,medium,,2026-08-15
instruments.*.fundamental.vol10DayAvg,instruments,instruments.0.fundamental.vol10DayAvg,unknown,prediction_model,medium,,2026-08-15
